,Equity final,Retorno total,CAGR,Vol anual,Sharpe,MaxDD,Turnover total,Turnover medio,Coste total
1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
Markowitz CAP10 + costes,2.3580100606770054,1.3580100606770054,0.08839721914496446,0.1013415417482061,0.8867948769637037,-0.21688828559405882,9.577086750473596,0.09208737260070764,0.00957708675047161
Mediana+MAD Random CAP10 + costes,2.5469286368618445,1.5469286368618445,0.09671192486714375,0.10714082401955644,0.9154790692054171,-0.211772885842182,19.160939183164494,0.17419035621058632,0.019160939183161738
Mediana+MAD DE CAP10 + costes,2.551057735410686,1.5510577354106858,0.09688736697642963,0.10669566854615202,0.9203523369541252,-0.1985251203787053,16.903189767044836,0.15366536151858942,0.016903189767042037
