rebalance_date,objective,median,mad,success,nfev,message,weight_sum,weight_max
2020-06-08,-0.0014065563980751239,0.0014065563980751239,0.005839102064016494,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-07-08,-0.0013940141978778372,0.0013940141978778372,0.006094279047706707,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-08-06,-0.0015468307040794405,0.0015468307040794405,0.006610836684484523,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-09-04,-0.0014696256470091659,0.0014696256470091659,0.006522166603536292,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-10-06,-0.0016788819598601258,0.0016788819598601258,0.006354346088980447,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-11-04,-0.0016713038579235684,0.0016713038579235684,0.006558510088076682,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2020-12-04,-0.0019057558303682176,0.0019057558303682176,0.007491657099506038,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-01-06,-0.002001462693576067,0.002001462693576067,0.007675286497834151,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-02-05,-0.0022542689778901424,0.0022542689778901424,0.007962519236654909,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-03-09,-0.002231760318599705,0.002231760318599705,0.007578312130912526,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-04-08,-0.002547346209707286,0.002547346209707286,0.006709253155810471,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-05-07,-0.0024151381895696523,0.0024151381895696523,0.00602951401977277,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-06-08,-0.0021343312427361343,0.0021343312427361343,0.005656140847768972,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-07-08,-0.0017534868756927326,0.0017534868756927326,0.005180065913700446,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2021-08-06,-0.001591665071878078,0.001591665071878078,0.004744601527950891,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-09-07,-0.0014914197330542713,0.0014914197330542713,0.00508669003583373,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-10-06,-0.0013531822107823968,0.0013531822107823968,0.004786981102867328,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-11-04,-0.0014151482179813326,0.0014151482179813326,0.004387918353239869,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2021-12-06,-0.0011310253535016784,0.0011310253535016784,0.004532063518617892,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2022-01-05,-0.0010859618289279574,0.0010859618289279574,0.00469331449987469,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-02-04,-0.000769917390287766,0.000769917390287766,0.004872452966639388,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-03-08,-0.000783245114539207,0.000783245114539207,0.0045681738985996236,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-04-06,-0.000704915744321595,0.000704915744321595,0.003756626578182284,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-05-06,-0.0005233497790651071,0.0005233497790651071,0.00413558556361469,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-06-07,-0.0003677654877327542,0.0003677654877327542,0.004371715501609245,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-07-08,-0.00022670737685281727,0.00022670737685281727,0.005107029044722385,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-08-08,-0.0002345089467993116,0.0002345089467993116,0.005010115541574158,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2022-09-07,-0.00014358785003186492,0.00014358785003186492,0.005264586852706918,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999998,0.1
2022-10-06,1.3002456478626188e-05,-1.3002456478626188e-05,0.005810956941046483,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2022-11-04,0.00022504159410573476,-0.00022504159410573476,0.0062066776451544315,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999998,0.1
2022-12-06,0.00013195705126232298,-0.00013195705126232298,0.006576608849659415,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-01-06,0.0003557381899097333,-0.0003557381899097333,0.006774877651967059,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-02-07,-0.00030059374048183637,0.00030059374048183637,0.006828206317156465,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-03-09,4.0955717522114386e-05,-4.0955717522114386e-05,0.006901640783628352,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2023-04-10,-0.0002314971459898733,0.0002314971459898733,0.006742648295328784,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-05-09,-0.0002608999556153506,0.0002608999556153506,0.006338908747346636,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-06-08,-0.00010035847189297759,0.00010035847189297759,0.006721153258878076,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-07-11,-0.0002549949968356002,0.0002549949968356002,0.005841581478518638,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-08-09,-0.00033396516736290254,0.00033396516736290254,0.00646342683636425,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-09-08,-0.0003658949804093458,0.0003658949804093458,0.0061328014510904204,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2023-10-09,-0.0003290285185576225,0.0003290285185576225,0.005278174808920191,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-11-07,-0.0007028768976463694,0.0007028768976463694,0.005428055494959816,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2023-12-07,-0.0008034499680729783,0.0008034499680729783,0.004735157298658741,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-01-09,-0.0008768507239501474,0.0008768507239501474,0.004612109409044516,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-02-08,-0.0007537267984430078,0.0007537267984430078,0.0044875909183889,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-03-11,-0.0008730467756349347,0.0008730467756349347,0.004266943612913809,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-04-10,-0.0007571843173929051,0.0007571843173929051,0.004476350416606215,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-05-09,-0.0008948361971858633,0.0008948361971858633,0.004715826113904152,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-06-10,-0.0008984067756137726,0.0008984067756137726,0.004537645721909981,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-07-11,-0.0008803066683148941,0.0008803066683148941,0.004418993759287381,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-08-09,-0.000722344485315339,0.000722344485315339,0.004731648335970069,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-09-10,-0.0010233461859314964,0.0010233461859314964,0.004465889318084066,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-10-09,-0.0010749783354426362,0.0010749783354426362,0.004301371139408734,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2024-11-07,-0.0009598827710202412,0.0009598827710202412,0.004215672839799992,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2024-12-09,-0.0010100281908669885,0.0010100281908669885,0.004173733414168386,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-01-10,-0.0009106284991603913,0.0009106284991603913,0.004127587277544835,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-02-11,-0.0010295016142159526,0.0010295016142159526,0.004435977986400823,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-03-13,-0.0008910664321249648,0.0008910664321249648,0.0039354036973634834,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-04-11,-0.0007994924758104552,0.0007994924758104552,0.004564974116047515,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-05-13,-0.001020514072179967,0.001020514072179967,0.004633213482553936,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-06-12,-0.001084208585097359,0.001084208585097359,0.00473234154622685,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-07-15,-0.001134481072121124,0.001134481072121124,0.005151762185973718,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-08-13,-0.001284309221725293,0.001284309221725293,0.0049106629813908615,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-09-12,-0.0012543370654581843,0.0012543370654581843,0.004756715100745393,False,7776,Maximum number of iterations has been exceeded.,0.9999999999999999,0.1
2025-10-13,-0.0012564882220879939,0.0012564882220879939,0.0047338417929488775,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-11-11,-0.00128550241244335,0.00128550241244335,0.004797998454287442,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2025-12-11,-0.001292557281120833,0.001292557281120833,0.004775313800524349,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2026-01-13,-0.0014612872121983207,0.0014612872121983207,0.004679223874470723,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
2026-02-12,-0.001508263776175065,0.001508263776175065,0.0046173399196357,False,7776,Maximum number of iterations has been exceeded.,1.0,0.1
