,portfolio_return,equity,portfolio_return_gross,turnover,transaction_cost
2021-12-16,-0.0033713717376844,1.9010249579572567,-0.0033713717376844,0.0,0.0
2021-12-17,-0.0034804885497586,1.894408462358281,-0.0034804885497586,0.0,0.0
2021-12-20,-0.0075370971446976,1.8801301217457493,-0.0075370971446976,0.0,0.0
2021-12-21,0.0127178650274471,1.9040413628681494,0.0127178650274471,0.0,0.0
2021-12-22,0.0080027573656917,1.9192789439094242,0.0080027573656917,0.0,0.0
2021-12-23,0.0036024914069906,1.9261931298124757,0.0036024914069906,0.0,0.0
2021-12-27,0.0086939696001473,1.942939394327078,0.0086939696001473,0.0,0.0
2021-12-28,-0.0017093390468531,1.9396182521546856,-0.0017093390468531,0.0,0.0
2021-12-29,-0.0001425930098158,1.9393416761502174,-0.0001425930098158,0.0,0.0
2021-12-30,0.0016009495117482,1.942446464259763,0.0016009495117482,0.0,0.0
2021-12-31,-0.0014583186720031,1.9396137583115667,-0.0014583186720031,0.0,0.0
2022-01-03,0.000375248517838,1.9403415954995515,0.000375248517838,0.0,0.0
2022-01-04,0.0004682644769192,1.9412501885418127,0.0004682644769192,0.0,0.0
2022-01-05,-0.015613903016604534,1.9109396963669558,-0.0155034764767349,0.11042653986963362,0.00011042653986963362
2022-01-06,-0.0003286219809139,1.9103117195785289,-0.0003286219809139,0.0,0.0
2022-01-07,-0.0021665880089447,1.9061728611135436,-0.0021665880089447,0.0,0.0
2022-01-10,-0.0021075790011215,1.9021554512189531,-0.0021075790011215,0.0,0.0
2022-01-11,0.0108297654922347,1.9227553486854303,0.0108297654922347,0.0,0.0
2022-01-12,0.0038346125825759,1.9301283705387144,0.0038346125825759,0.0,0.0
2022-01-13,-0.0081829027454678,1.914334317796328,-0.0081829027454678,0.0,0.0
2022-01-14,-0.0005396859169576,1.9133011785246645,-0.0005396859169576,0.0,0.0
2022-01-18,-0.0125794324277371,1.8892329356355038,-0.0125794324277371,0.0,0.0
2022-01-19,-0.0023736998323621,1.8847484637328928,-0.0023736998323621,0.0,0.0
2022-01-20,-0.005883401292875,1.8736597321846225,-0.005883401292875,0.0,0.0
2022-01-21,-0.0088564269981366,1.8570658015471813,-0.0088564269981366,0.0,0.0
