Coste,Método,Equity final,Retorno total,CAGR,Vol anual,Sharpe,MaxDD,Turnover total,Turnover medio,Coste total
0 bps,1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
0 bps,Markowitz CAP10,2.380698922723983,1.3806989227239832,0.08942689050853536,0.1013397647054177,0.8961423987784068,-0.21620092632829224,9.5770867504736,0.09208737260070768,0.0
0 bps,Mediana+MAD Random CAP10,2.5961733042831847,1.5961733042831847,0.09878779641381596,0.10714438737905077,0.9331076685885304,-0.21030898271737986,19.160939183164498,0.17419035621058637,0.0
0 bps,Mediana+MAD DE CAP10,2.5945075601564263,1.5945075601564263,0.09871816039901371,0.10670363137860792,0.9359262693638868,-0.19851923038037445,16.903189767044836,0.15366536151858942,0.0
5 bps,1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
5 bps,Markowitz CAP10,2.3693277351504194,1.3693277351504194,0.08891195136748586,0.10134049208728015,0.8914700143998193,-0.2165446709345954,9.5770867504736,0.09208737260070768,0.004788543375236799
5 bps,Mediana+MAD Random CAP10,2.5714346749733252,1.5714346749733252,0.09774943677586667,0.1071420533600828,0.9242982803927119,-0.211041231778343,19.160939183164498,0.17419035621058637,0.00958046959158225
5 bps,Mediana+MAD DE CAP10,2.5726922049269905,1.5726922049269905,0.09780243608985639,0.10669920020875524,0.9281435059756026,-0.19852217537953953,16.903189767044836,0.15366536151858942,0.008451594883522418
10 bps,1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
10 bps,Markowitz CAP10,2.3580100606770054,1.3580100606770054,0.08839721914496446,0.10134154174820613,0.8867948769637034,-0.21688828559405882,9.5770867504736,0.09208737260070768,0.009577086750473598
10 bps,Mediana+MAD Random CAP10,2.5469286368618445,1.5469286368618445,0.09671192486714375,0.10714082401955645,0.9154790692054179,-0.211772885842182,19.160939183164498,0.17419035621058637,0.0191609391831645
10 bps,Mediana+MAD DE CAP10,2.551057735410686,1.5510577354106858,0.09688736697642963,0.10669566854615206,0.9203523369541254,-0.1985251203787053,16.903189767044836,0.15366536151858942,0.016903189767044836
20 bps,1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
20 bps,Markowitz CAP10,2.335534259764565,1.335534259764565,0.08736837517560292,0.10134460786411871,0.8774365220920269,-0.217575125240279,9.5770867504736,0.09208737260070768,0.019154173500947197
20 bps,Mediana+MAD Random CAP10,2.4986057243457522,1.4986057243457522,0.09463944188319795,0.10714167949176012,0.8978122672832984,-0.2132344106503471,19.160939183164498,0.17419035621058637,0.038321878366329
20 bps,Mediana+MAD DE CAP10,2.508325549995169,1.508325549995169,0.09505919275135932,0.1066913040772456,0.9047455645028027,-0.19913194736413342,16.903189767044836,0.15366536151858942,0.03380637953408967
50 bps,1/N,2.496986633173933,1.496986633173933,0.0945693784543884,0.10839173873593866,0.8881616513563496,-0.22176095572450527,0.0,0.0,0.0
50 bps,Markowitz CAP10,2.269365601188547,1.269365601188547,0.08428680203825012,0.10136153923488622,0.8493000554289544,-0.21963252981590442,9.5770867504736,0.09208737260070768,0.04788543375236799
50 bps,Mediana+MAD Random CAP10,2.358998827019111,1.3589988270191111,0.08844227728554044,0.10717075510744323,0.8446045855273517,-0.21760474856716705,19.160939183164498,0.17419035621058637,0.0958046959158225
50 bps,Mediana+MAD DE CAP10,2.3843188811751563,1.3843188811751563,0.08959035358894307,0.10669980344718911,0.8577439687311871,-0.20303858894871507,16.903189767044836,0.15366536151858942,0.08451594883522418
