rebalance_date,DBC,EEM,GLD,HYG,IEF,IEFA,IWM,LQD,QQQ,SPY,TLT,VNQ
2017-01-04,0.0006231578037550436,0.006567922396926466,0.04710921417851184,0.0076155549039190066,0.01666999572337529,0.08101851545802187,0.5410192329770915,0.05667847918028977,0.0935617138899673,0.018763976364082138,0.02207413695383695,0.10829810017022294
2017-02-03,0.013808422821805931,0.08145669640107488,0.05627489829671381,0.03692867165829147,0.038826997848919687,0.01910886652096337,0.32974258005691504,0.03405191580428724,0.04010935192906435,0.06016673409042793,0.11186376731244657,0.17766109725908977
2017-03-07,0.013476852419957268,0.03650796185035363,0.017869001731644144,0.0788199167977481,0.0004646109712937858,0.03449438697062364,0.08181812933019521,0.053081987736209445,0.014084503980538923,0.3499255099787186,0.12443936490006106,0.19501777333265624
2017-04-05,0.0905197136009565,0.063850868866024,0.010461707212315012,0.0026765725868949063,0.005879543198635961,0.06085577775876777,0.12648439494896585,0.046966265297108685,0.0575859658540995,0.0260604089225084,0.034917322360133486,0.47374145939359
2017-05-05,0.01645075290363796,0.028842335253757654,0.01932920325030825,0.0012864527914390996,0.006800544972631854,0.08805531612073249,0.21987433852035831,0.05231309551535018,0.27063945056960714,0.0431802059719047,0.2515532328587298,0.0016750712715426174
2017-06-06,0.027796969979007834,0.0009172896967741304,0.02004118353817645,0.015403199178573686,0.019619286467777254,0.45499126039925486,0.041592364581676235,0.08780310781180478,0.1323513708756961,0.031226591240515352,0.018628297951345005,0.1496290782793984
2017-07-06,0.033135145485687814,0.014552985760640132,0.007601410705817138,0.05227451589825449,0.002372108432410659,0.009034734377436312,0.16171672377766633,0.054982566095575044,0.48471500569361187,0.05064293637150047,0.0430019390434234,0.08596992835797622
2017-08-04,0.004544510339865294,0.014316980647988845,2.9648106142640028e-05,0.009104982417814024,0.04130693971060681,0.021377537455629755,0.17279685096387237,0.15993957027324823,0.32488644935168887,0.0465134071830466,0.1821056684999191,0.02307745505017757
2017-09-05,0.25209785285916,0.33142762823187205,0.09110768810251614,0.03896836665957337,0.08231504306332207,0.03502945313561103,0.023668275377792498,0.02571459841274167,0.05959419706295657,0.01944096527474897,0.012452714546144723,0.028183217273561035
2017-10-04,0.005799027788708178,0.3543387541723944,0.11017598596624725,0.04921129278716374,0.03981033748950565,0.00027174557046248286,0.32284230509589495,0.008935104810524152,0.03858757564162799,0.017147144292532487,0.027284081328284412,0.025596645056654356
2017-11-02,0.00482190267421121,0.038767419497184534,0.0001674748263759952,0.026450158876703454,0.012385295146846451,0.05525452114311738,0.39661872274247073,0.08127652062,0.28479571232694234,0.02474374952978119,0.036951795794741345,0.03776672682162549
2017-12-04,0.002077317584720282,0.045202744950248064,0.04568398420612746,0.0158690550879066,0.016013891667678685,0.13525729372389964,0.22122709078531633,0.0647448405518936,0.2923344186355681,0.14790913049352747,0.010486081431286863,0.0031941508818270426
2018-01-04,0.017502032850911974,0.5353180500390933,0.039790915207463765,0.048275464257269717,0.02619609014895601,0.0016948781271196854,0.1741088546148156,0.044779888841321135,0.0027435623483541083,0.003625174264258612,0.09296940900927406,0.012995680291162097
2018-02-05,0.09271599441357911,0.19916861188280505,0.03520286321045784,0.051636755622499794,0.026299527634522833,0.008214444442125796,0.33133218593254654,0.08507086686582656,0.12780688203858998,0.01156583922751976,0.0023106728970209217,0.02867535583250591
2018-03-07,0.010879798832187603,0.4976547279438436,0.014452534603488035,0.05187510548002653,0.013058652052251008,0.10716589850847827,0.05291616743913615,0.045757128569069154,0.03844618334835752,0.112504460508682,0.013483585676569335,0.04180575703791081
2018-04-06,0.10386082742785054,0.25972755872600883,0.06300074597598855,0.0684436348225646,0.007771753393508815,0.015131231295040484,0.3078909263541057,0.06848873882499465,0.06744355759765264,0.03396965362095621,0.0028447983461406087,0.0014265736151885028
2018-05-07,0.0068299508734820874,0.409003001885171,0.03820576732816598,0.007089733678071941,0.097622541945899,0.05186789824397768,0.12629173155380638,0.0009358781240707744,0.16926526510820997,0.04022584904483856,0.0013979197012301378,0.05126446251307651
2018-06-06,0.05621922091433614,0.31755652229252984,0.048943852658159974,0.0038625941731117723,0.06511207389479923,0.03789785494302181,0.3782547882602349,0.007899949981628651,0.01987994568065408,0.002959798563902488,0.014630369113785093,0.04678302952383602
2018-07-06,0.18015891793154098,0.04901545504651674,0.0018354411874198422,0.0196365583713077,0.15155491875174618,0.05128270317781428,0.3115892273791759,0.011044093755547383,0.11588602653072314,0.015741335231233913,0.0078088985183860935,0.08444642411858791
