Date,DBC,EEM,GLD,HYG,IEF,IEFA,IWM,LQD,QQQ,SPY,TLT,VNQ
2016-01-04,11.210503578186035,25.081514358520508,102.88999938964844,47.00363540649414,84.85132598876953,39.540828704833984,96.63581085205078,80.29012298583984,101.84554290771484,170.37228393554688,92.35215759277344,52.950965881347656
2016-01-05,11.10059642791748,25.137592315673828,103.18000030517578,47.09164047241211,84.8272705078125,39.47440719604492,96.8466567993164,80.33245086669922,101.66881561279297,170.66033935546875,91.97958374023438,53.972755432128906
2016-01-06,10.923054695129395,24.656951904296875,104.66999816894531,47.09164047241211,85.33940887451172,38.780704498291016,95.37088012695312,80.64949035644531,100.69222259521484,168.50759887695312,93.21903991699219,53.824851989746094
2016-01-07,10.872326850891113,23.89592933654785,106.1500015258789,46.78654479980469,85.5234375,38.04273223876953,92.82344055175781,80.71293640136719,97.5392074584961,164.46482849121094,93.38629913330078,52.77619552612305
2016-01-08,10.821600914001465,23.639589309692383,105.68000030517578,46.66328430175781,85.73949432373047,37.5556640625,91.22472381591797,80.77633666992188,96.73931121826172,162.6595458984375,93.80455780029297,52.070377349853516
2016-01-11,10.5256986618042,23.631574630737305,104.73999786376953,46.59286880493164,85.4674301147461,37.688499450683594,90.82942199707031,80.51561737060547,97.0369644165039,162.8206024169922,92.77798461914062,52.36613845825195
2016-01-12,10.458063125610352,23.679645538330078,104.20999908447266,46.63978958129883,85.85150909423828,37.865623474121094,91.10173797607422,80.69884490966797,98.16236114501953,164.13429260253906,94.11630249023438,52.01658248901367
2016-01-13,10.398882865905762,23.431310653686523,104.72000122070312,46.12343215942383,86.1875991821289,37.24571990966797,88.17657470703125,80.94544219970703,94.77681732177734,160.04066467285156,95.04399108886719,51.27042007446289
2016-01-14,10.424245834350586,23.7357177734375,103.0199966430664,46.32881164550781,86.01152038574219,37.71063995361328,89.3975830078125,80.54381561279297,96.79512786865234,162.66806030273438,94.1543197631836,51.14940643310547
2016-01-15,10.20443058013916,22.798460006713867,104.08000183105469,45.71854782104492,86.4115982055664,36.37490463256836,87.94816589355469,80.42404174804688,93.79092407226562,159.1761932373047,95.6219253540039,50.79985809326172
2016-01-19,10.119889259338379,23.134912490844727,103.9800033569336,45.56007766723633,86.29960632324219,36.69223403930664,86.76229858398438,80.0646743774414,93.99553680419922,159.3880615234375,95.32537078857422,51.068756103515625
2016-01-20,10.04379940032959,22.630239486694336,105.37000274658203,45.254920959472656,86.7237319946289,35.80665969848633,87.12245178222656,80.1844711303711,93.70722198486328,157.3455352783203,96.32908630371094,49.69743347167969
2016-01-21,10.179068565368652,22.718358993530273,105.48999786376953,45.56007766723633,86.5076675415039,36.05757141113281,86.92044067382812,79.95191955566406,93.80020904541016,158.2269744873047,95.67510986328125,49.9730224609375
2016-01-22,10.48342514038086,23.495397567749023,105.0,46.25838851928711,86.31566619873047,37.1350212097168,89.04622650146484,80.00127410888672,96.5160903930664,161.4729766845703,95.31015014648438,51.36454391479492
2016-01-25,10.255158424377441,23.094863891601562,106.08000183105469,45.80065155029297,86.60369873046875,36.64058303833008,87.06974792480469,79.91671752929688,95.08374786376953,159.0321044921875,95.8272476196289,51.041873931884766
2016-01-26,10.458063125610352,23.431310653686523,107.29000091552734,46.211429595947266,86.6677017211914,37.28999710083008,88.80903625488281,80.14220428466797,95.93943786621094,161.20179748535156,95.87284851074219,52.110694885253906
2016-01-27,10.584877014160156,23.3512020111084,107.69000244140625,46.1410026550293,86.73167419433594,37.04645919799805,87.58802795410156,79.92372131347656,93.54910278320312,159.44740295410156,95.85005187988281,51.10235595703125
2016-01-28,10.703239440917969,23.719696044921875,106.54000091552734,46.375736236572266,86.84371948242188,37.17192077636719,87.5704345703125,80.01538848876953,94.86982727050781,160.27798461914062,95.9869613647461,50.712467193603516
2016-01-29,10.804693222045898,24.48872184753418,106.94999694824219,46.52833938598633,87.30786895751953,37.843482971191406,90.44293975830078,80.43107604980469,96.8509521484375,164.1851348876953,96.8005142211914,51.75440979003906
2016-02-01,10.601787567138672,24.256418228149414,108.05000305175781,46.251731872558594,87.10670471191406,37.82133865356445,90.03003692626953,80.17455291748047,97.1113510131836,164.12579345703125,96.50421142578125,51.841800689697266
2016-02-02,10.415790557861328,23.471364974975586,108.08999633789062,45.92149353027344,87.72376251220703,36.92839431762695,88.08871459960938,80.32299041748047,95.00934600830078,161.1679229736328,98.29456329345703,51.37124252319336
2016-02-03,10.677876472473145,24.136253356933594,109.25,46.14558410644531,87.62760162353516,37.24571990966797,88.20294189453125,80.12507629394531,94.55359649658203,162.1341094970703,97.47940826416016,51.714080810546875
2016-02-04,10.660967826843262,24.320497512817383,110.56999969482422,45.99815368652344,87.8359603881836,37.253089904785156,88.5455322265625,80.1603775024414,94.54429626464844,162.38836669921875,97.9516830444336,51.74097442626953
2016-02-05,10.593332290649414,24.040122985839844,112.31999969482422,45.6442985534668,87.9480972290039,36.684852600097656,86.12104034423828,80.14629364013672,91.26103210449219,159.29483032226562,98.06598663330078,50.7595329284668
2016-02-08,10.542607307434082,23.711685180664062,113.83000183105469,45.11358642578125,88.60523986816406,36.02805709838867,84.706787109375,80.56321716308594,89.86590576171875,157.15060424804688,100.1763687133789,49.307518005371094
2016-02-09,10.272067070007324,23.383249282836914,113.58000183105469,44.94255447387695,88.6212387084961,35.60002899169922,84.13580322265625,80.28760528564453,89.58685302734375,157.1590576171875,100.28302001953125,48.4000358581543
2016-02-10,10.288975715637207,23.4793758392334,114.45999908447266,44.877689361572266,88.88574981689453,35.57051086425781,84.17971801757812,80.38656616210938,89.93101501464844,157.02342224121094,101.16675567626953,48.736148834228516
2016-02-11,10.415790557861328,23.08685302734375,119.05999755859375,44.57691192626953,89.29438018798828,35.105587005615234,83.26617431640625,80.65511322021484,89.80081939697266,154.98092651367188,101.87525939941406,48.04375076293945
2016-02-12,10.567970275878906,23.48738670349121,118.36000061035156,45.2432975769043,88.6132583618164,35.622169494628906,84.84733581542969,80.20282745361328,91.16802978515625,158.17613220214844,100.1839599609375,48.59496307373047
2016-02-16,10.44960880279541,24.008081436157227,114.7699966430664,45.28459167480469,88.34881591796875,36.315860748291016,86.85891723632812,79.8211898803711,93.22356414794922,160.84579467773438,99.125,49.4890251159668
2016-02-17,10.669422149658203,24.480710983276367,115.4800033569336,45.65611267089844,88.13247680664062,36.980045318603516,88.2204818725586,79.8000259399414,95.33486938476562,163.4732208251953,98.51551818847656,49.91252517700195
2016-02-18,10.610240936279297,24.336523056030273,118.29000091552734,45.69739532470703,88.54112243652344,36.861976623535156,87.79882049560547,80.45015716552734,94.24665832519531,162.80364990234375,99.72681427001953,50.41669845581055
