rebalance_date,objective,median,mad,success,nfev,message,turnover_to_previous,turnover_penalty,weight_sum,weight_max
2017-01-04,-0.0005756349859445342,0.0010031409378760065,0.0043625629095901735,False,7776,Maximum number of iterations has been exceeded.,0.21375297596573611,0.002,0.9999999999999999,0.1
2017-02-03,-0.0010131805860799925,0.001090065023874908,0.0038962092861434734,False,7776,Maximum number of iterations has been exceeded.,0.038442218897457706,0.002,1.0,0.1
2017-03-07,-0.0009098912583197778,0.0009723847044685781,0.0036763448031964154,False,7776,Maximum number of iterations has been exceeded.,0.031246723074400115,0.002,1.0,0.1
2017-04-05,-0.0009643894538820019,0.0009709710525186206,0.0035519055370904734,False,7776,Maximum number of iterations has been exceeded.,0.0032907993183093065,0.002,0.9999999999999999,0.1
2017-05-05,-0.0007615953894937673,0.0008791516370232097,0.0034450195432673926,False,7776,Maximum number of iterations has been exceeded.,0.05877812376472119,0.002,1.0,0.1
2017-06-06,-0.0008767066539803572,0.0008808013014824952,0.0033531710545141096,False,7776,Maximum number of iterations has been exceeded.,0.0020473237510690023,0.002,0.9999999999999999,0.1
2017-07-06,-0.0007139637854182872,0.0007956934157570591,0.003056738288996939,False,7776,Maximum number of iterations has been exceeded.,0.04086481516938592,0.002,0.9999999999999999,0.1
2017-08-04,-0.0007153464248472281,0.0007326274351211926,0.0030139856434151964,False,7776,Maximum number of iterations has been exceeded.,0.008640505136982238,0.002,1.0,0.1
2017-09-05,-0.0007325922699363088,0.0007327689153798205,0.003038678154682247,False,7776,Maximum number of iterations has been exceeded.,8.83227217558652e-05,0.002,0.9999999999999999,0.1
2017-10-04,-0.0004998229937509279,0.0006756976455836161,0.0026815773639303014,False,7776,Maximum number of iterations has been exceeded.,0.0879373259163441,0.002,0.9999999999999999,0.1
2017-11-02,-0.0006955494136789073,0.0007137764796757251,0.0025472246307326114,False,7776,Maximum number of iterations has been exceeded.,0.009113532998408905,0.002,1.0,0.1
2017-12-04,-0.0007376641210586854,0.0007464784385274389,0.0024144854985859634,False,7776,Maximum number of iterations has been exceeded.,0.004407158734376797,0.002,1.0,0.1
2018-01-04,-0.0007337900432980634,0.0007417553270025132,0.0023622142486937436,False,7776,Maximum number of iterations has been exceeded.,0.003982641852224876,0.002,0.9999999999999999,0.1
2018-02-05,-0.0007039066205020384,0.0007194318582439537,0.002478671226638641,False,7776,Maximum number of iterations has been exceeded.,0.007762618870957652,0.002,1.0,0.1
2018-03-07,-0.0007389103778028161,0.0007443581839306738,0.002919712112831285,False,7776,Maximum number of iterations has been exceeded.,0.002723903063928834,0.002,1.0,0.1
2018-04-06,-0.0007309206593248621,0.0007386231943390271,0.0030801772477395428,False,7776,Maximum number of iterations has been exceeded.,0.0038512675070824787,0.002,0.9999999999999999,0.1
2018-05-07,-0.0007180802719400675,0.0008515121921631633,0.0031553618934218315,False,7776,Maximum number of iterations has been exceeded.,0.06671596011154789,0.002,0.9999999999999999,0.1
2018-06-06,-0.0007481237809327727,0.0008153354779936899,0.003104732578171686,False,7776,Maximum number of iterations has been exceeded.,0.033605848530458615,0.002,1.0,0.1
2018-07-06,-0.0008139611534928517,0.000816199473634479,0.003154132209373375,False,7776,Maximum number of iterations has been exceeded.,0.0011191600708136407,0.002,0.9999999999999999,0.1
2018-08-06,-0.0006399826876592194,0.0007041190474751746,0.003207305782101773,False,7776,Maximum number of iterations has been exceeded.,0.03206817990797761,0.002,0.9999999999999999,0.1
2018-09-05,-0.0005455783379396909,0.0007058849621770572,0.0032460545000196016,False,7776,Maximum number of iterations has been exceeded.,0.08015331211868315,0.002,1.0,0.1
2018-10-04,-0.0006766633950741978,0.000706435617393552,0.0032651751547264794,False,7776,Maximum number of iterations has been exceeded.,0.014886111159677085,0.002,1.0,0.1
2018-11-02,-0.0006950612254489386,0.0007006098808987355,0.0036629762779327793,False,7776,Maximum number of iterations has been exceeded.,0.0027743277248984677,0.002,0.9999999999999999,0.1
2018-12-04,-0.000578654232041908,0.0005860463633628851,0.003928600690609488,False,7776,Maximum number of iterations has been exceeded.,0.003696065660488579,0.002,1.0,0.1
2019-01-07,-0.00033866488878339136,0.0003858157942709823,0.004230017795562331,False,7776,Maximum number of iterations has been exceeded.,0.02357545274379546,0.002,1.0,0.1
2019-02-06,-0.0006653184008111828,0.0007131611749148115,0.004306596216390885,False,7776,Maximum number of iterations has been exceeded.,0.023921387051814354,0.002,1.0,0.1
2019-03-08,-0.0003734939741561106,0.0004307956727483066,0.003901208543916884,False,7776,Maximum number of iterations has been exceeded.,0.028650849296097985,0.002,1.0,0.1
2019-04-08,-0.0006975768267452573,0.0007216669709883528,0.0037780528944081283,False,7776,Maximum number of iterations has been exceeded.,0.012045072121547734,0.002,1.0,0.1
2019-05-08,-0.0005925496257774022,0.000649681791686386,0.003630884439609879,False,7776,Maximum number of iterations has been exceeded.,0.02856608295449191,0.002,1.0,0.1
2019-06-07,-0.0006493049438458802,0.0006497342690598044,0.0037712769774733137,False,7776,Maximum number of iterations has been exceeded.,0.00021466260696208217,0.002,1.0,0.1
2019-07-09,-0.0007283578017802309,0.000762977113078651,0.0039032266251694723,False,7776,Maximum number of iterations has been exceeded.,0.017309655649210054,0.002,1.0,0.1
2019-08-07,-0.0007467299990518725,0.000778965836918603,0.003994651922879889,False,7776,Maximum number of iterations has been exceeded.,0.016117918933365213,0.002,1.0,0.1
2019-09-06,-0.0008676488765459656,0.0009224163806293047,0.004174046975761074,False,7776,Maximum number of iterations has been exceeded.,0.027383752041669526,0.002,1.0,0.1
2019-10-07,-0.0008905840596215069,0.0009029886029203414,0.0042597856458792905,False,7776,Maximum number of iterations has been exceeded.,0.006202271649417279,0.002,1.0,0.1
2019-11-05,-0.0009041170248859235,0.000964105342690218,0.003809527152096387,False,7776,Maximum number of iterations has been exceeded.,0.029994158902147308,0.002,1.0,0.1
2019-12-05,-0.0009038421732330862,0.0009300826245857644,0.003561457036498251,False,7776,Maximum number of iterations has been exceeded.,0.013120225676339137,0.002,1.0,0.1
2020-01-07,-0.0009864528329112273,0.0010530544380368337,0.0030841999203507224,False,7776,Maximum number of iterations has been exceeded.,0.03330080256280325,0.002,1.0,0.1
2020-02-06,-0.0007775285625777903,0.0008105973844733909,0.0029774198150724885,False,7776,Maximum number of iterations has been exceeded.,0.016534410947800254,0.002,0.9999999999999999,0.1
2020-03-09,-0.000881852464175431,0.0010502496170773303,0.003420851362136126,False,7776,Maximum number of iterations has been exceeded.,0.08419857645094968,0.002,1.0,0.1
2020-04-07,-0.000687807767071899,0.0008295666570929635,0.005896839071457759,False,7776,Maximum number of iterations has been exceeded.,0.07087944501053225,0.002,0.9999999999999999,0.1
2020-05-07,-0.0010392502731383906,0.0010530328687808105,0.0064845103790571925,False,7776,Maximum number of iterations has been exceeded.,0.006891297821209952,0.002,0.9999999999999999,0.1
2020-06-08,-0.0011745167588913135,0.001230001578843825,0.006883372465593515,False,7776,Maximum number of iterations has been exceeded.,0.02774240997625569,0.002,1.0,0.1
2020-07-08,-0.0010981212341725616,0.0011758890005990495,0.0069328023571976856,False,7776,Maximum number of iterations has been exceeded.,0.038883883213243965,0.002,1.0,0.1
